,MV,age,Team,pre_MV,apps,ppm,goals,assists,mins_played,Nationality,Overall,Potential,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,names,Acceleration,Aggression,Agility,Balance,Ball Control,Composure,Dribbling,FK Accuracy,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Interceptions,Jumping,Long Passing,Long Shots,Marking,Penalties,Positioning,Reactions,Shot Power,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys,Role
10,20282400.0,32.0,Manchester City,37825200.0,41.0,3.84,10.0,2.0,669.996,Brazil,75,78,Left,1,3.0,4.0,High/ Low,Lean,CAM,5'9,143lbs,70+2,70+2,70+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,65+2,62+2,62+2,62+2,65+2,62+2,57+2,57+2,57+2,62+2,Fernandinho,80,63.0,72.0,79.0,77.0,74.0,78.0,60.0,6.0,11.0,11.0,10.0,8.0,50.0,87.0,64.0,71.0,56.0,63.0,75.0,74.0,75.0,49.0,80.0,78.0,50.0,66.0,66.0,58.0,midfield
11,5103000.0,26.0,Shanghai Shenhua,3600000.0,15.0,1.57,2.0,5.0,121.247,Colombia,77,77,Left,1,2.0,4.0,Medium/ Medium,Normal,CAM,6'4,183lbs,76+2,76+2,76+2,75+2,76+2,76+2,76+2,75+2,76+2,76+2,76+2,75+2,72+2,72+2,72+2,75+2,65+2,64+2,64+2,64+2,65+2,64+2,62+2,62+2,62+2,64+2,Moreno,74,72.0,74.0,79.0,75.0,70.0,80.0,60.0,7.0,13.0,12.0,15.0,15.0,43.0,82.0,64.0,73.0,50.0,78.0,77.0,69.0,73.0,62.0,70.0,78.0,50.0,76.0,76.0,78.0,midfield
12,2696400.0,22.0,Villarreal CF,685800.0,32.0,1.26,12.0,7.0,46.235,Colombia,77,77,Left,1,2.0,4.0,Medium/ Medium,Normal,CAM,6'4,183lbs,76+2,76+2,76+2,75+2,76+2,76+2,76+2,75+2,76+2,76+2,76+2,75+2,72+2,72+2,72+2,75+2,65+2,64+2,64+2,64+2,65+2,64+2,62+2,62+2,62+2,64+2,Moreno,74,72.0,74.0,79.0,75.0,70.0,80.0,60.0,7.0,13.0,12.0,15.0,15.0,43.0,82.0,64.0,73.0,50.0,78.0,77.0,69.0,73.0,62.0,70.0,78.0,50.0,76.0,76.0,78.0,midfield
13,5346000.0,23.0,Villarreal CF,2696400.0,39.0,6.0,16.0,5.0,1011.619,Colombia,77,77,Left,1,2.0,4.0,Medium/ Medium,Normal,CAM,6'4,183lbs,76+2,76+2,76+2,75+2,76+2,76+2,76+2,75+2,76+2,76+2,76+2,75+2,72+2,72+2,72+2,75+2,65+2,64+2,64+2,64+2,65+2,64+2,62+2,62+2,62+2,64+2,Moreno,74,72.0,74.0,79.0,75.0,70.0,80.0,60.0,7.0,13.0,12.0,15.0,15.0,43.0,82.0,64.0,73.0,50.0,78.0,77.0,69.0,73.0,62.0,70.0,78.0,50.0,76.0,76.0,78.0,midfield
14,58320000.00000001,20.0,Santos FC,27000000.0,31.0,5.55,23.0,10.0,182.603,Brazil,92,93,Right,5,5.0,5.0,High/ Medium,Neymar,LW,5'9,150lbs,84+3,84+3,84+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,88+3,81+3,81+3,81+3,88+3,65+3,60+3,60+3,60+3,65+3,60+3,47+3,47+3,47+3,60+3,Jr,94,56.0,96.0,82.0,95.0,92.0,96.0,84.0,9.0,9.0,15.0,15.0,11.0,36.0,61.0,75.0,78.0,21.0,81.0,90.0,88.0,80.0,33.0,90.0,78.0,24.0,53.0,83.0,83.0,forward
15,68580000.0,21.0,FC Barcelona,58320000.00000001,1.0,1.0,0.0,0.0,90.0,Brazil,92,93,Right,5,5.0,5.0,High/ Medium,Neymar,LW,5'9,150lbs,84+3,84+3,84+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,88+3,81+3,81+3,81+3,88+3,65+3,60+3,60+3,60+3,65+3,60+3,47+3,47+3,47+3,60+3,Jr,94,56.0,96.0,82.0,95.0,92.0,96.0,84.0,9.0,9.0,15.0,15.0,11.0,36.0,61.0,75.0,78.0,21.0,81.0,90.0,88.0,80.0,33.0,90.0,78.0,24.0,53.0,83.0,83.0,forward
16,94374000.0,22.0,FC Barcelona,68580000.0,41.0,7.3100000000000005,15.0,15.0,1103.7359999999999,Brazil,92,93,Right,5,5.0,5.0,High/ Medium,Neymar,LW,5'9,150lbs,84+3,84+3,84+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,88+3,81+3,81+3,81+3,88+3,65+3,60+3,60+3,60+3,65+3,60+3,47+3,47+3,47+3,60+3,Jr,94,56.0,96.0,82.0,95.0,92.0,96.0,84.0,9.0,9.0,15.0,15.0,11.0,36.0,61.0,75.0,78.0,21.0,81.0,90.0,88.0,80.0,33.0,90.0,78.0,24.0,53.0,83.0,83.0,forward
17,133650000.00000001,23.0,FC Barcelona,94374000.0,51.0,7.95,39.0,10.0,506.59499999999997,Brazil,92,93,Right,5,5.0,5.0,High/ Medium,Neymar,LW,5'9,150lbs,84+3,84+3,84+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,88+3,81+3,81+3,81+3,88+3,65+3,60+3,60+3,60+3,65+3,60+3,47+3,47+3,47+3,60+3,Jr,94,56.0,96.0,82.0,95.0,92.0,96.0,84.0,9.0,9.0,15.0,15.0,11.0,36.0,61.0,75.0,78.0,21.0,81.0,90.0,88.0,80.0,33.0,90.0,78.0,24.0,53.0,83.0,83.0,forward
18,135090000.0,24.0,FC Barcelona,106920000.0,49.0,10.82,31.0,25.0,1381.056,Brazil,92,93,Right,5,5.0,5.0,High/ Medium,Neymar,LW,5'9,150lbs,84+3,84+3,84+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,88+3,81+3,81+3,81+3,88+3,65+3,60+3,60+3,60+3,65+3,60+3,47+3,47+3,47+3,60+3,Jr,94,56.0,96.0,82.0,95.0,92.0,96.0,84.0,9.0,9.0,15.0,15.0,11.0,36.0,61.0,75.0,78.0,21.0,81.0,90.0,88.0,80.0,33.0,90.0,78.0,24.0,53.0,83.0,83.0,forward
19,169020000.0,25.0,Paris Saint-Germain,135090000.0,45.0,6.58,20.0,26.0,1321.653,Brazil,92,93,Right,5,5.0,5.0,High/ Medium,Neymar,LW,5'9,150lbs,84+3,84+3,84+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,89+3,88+3,81+3,81+3,81+3,88+3,65+3,60+3,60+3,60+3,65+3,60+3,47+3,47+3,47+3,60+3,Jr,94,56.0,96.0,82.0,95.0,92.0,96.0,84.0,9.0,9.0,15.0,15.0,11.0,36.0,61.0,75.0,78.0,21.0,81.0,90.0,88.0,80.0,33.0,90.0,78.0,24.0,53.0,83.0,83.0,forward
20,2187000.0,27.0,Junior FC,1620000.0,3.0,3.0,1.0,0.0,183.0,Colombia,77,77,Right,2,3.0,4.0,Medium/ Low,Normal,ST,5'10,179lbs,76+2,76+2,76+2,74+2,76+2,76+2,76+2,74+2,75+2,75+2,75+2,73+2,70+2,70+2,70+2,73+2,52+2,54+2,54+2,54+2,52+2,48+2,47+2,47+2,47+2,48+2,Gutiérrez,66,80.0,76.0,74.0,81.0,82.0,78.0,63.0,14.0,13.0,11.0,6.0,13.0,25.0,80.0,69.0,76.0,13.0,72.0,81.0,77.0,78.0,20.0,65.0,68.0,26.0,76.0,76.0,75.0,forward
21,1440000.0,33.0,Junior FC,2028240.0,39.0,8.78,10.0,5.0,2917.0,Colombia,77,77,Right,2,3.0,4.0,Medium/ Low,Normal,ST,5'10,179lbs,76+2,76+2,76+2,74+2,76+2,76+2,76+2,74+2,75+2,75+2,75+2,73+2,70+2,70+2,70+2,73+2,52+2,54+2,54+2,54+2,52+2,48+2,47+2,47+2,47+2,48+2,Gutiérrez,66,80.0,76.0,74.0,81.0,82.0,78.0,63.0,14.0,13.0,11.0,6.0,13.0,25.0,80.0,69.0,76.0,13.0,72.0,81.0,77.0,78.0,20.0,65.0,68.0,26.0,76.0,76.0,75.0,forward
22,4374000.0,19.0,Red Bull,810000.0,18.0,2.81,0.0,2.0,241.422,Kosovo,76,79,Right,2,4.0,4.0,High/ Medium,Normal,LM,5'9,154lbs,70+2,70+2,70+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,72+2,72+2,72+2,74+2,68+2,68+2,68+2,68+2,68+2,66+2,63+2,63+2,63+2,66+2,Berisha,82,81.0,83.0,67.0,78.0,78.0,77.0,66.0,6.0,14.0,15.0,15.0,13.0,56.0,78.0,71.0,73.0,53.0,69.0,72.0,73.0,76.0,54.0,78.0,86.0,56.0,74.0,76.0,68.0,midfield
23,4374000.0,19.0,Red Bull,810000.0,18.0,2.81,0.0,2.0,241.422,Norway,67,70,Right,1,4.0,3.0,High/ Medium,Stocky,LM,5'9,157lbs,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,64+2,64+2,64+2,66+2,59+2,59+2,59+2,66+2,54+2,51+2,51+2,51+2,54+2,51+2,48+2,48+2,48+2,51+2,Berisha,80,81.0,80.0,82.0,69.0,63.0,67.0,44.0,13.0,14.0,12.0,11.0,9.0,37.0,85.0,49.0,64.0,37.0,67.0,66.0,67.0,76.0,24.0,82.0,83.0,29.0,74.0,60.0,59.0,midfield
24,36450000.0,25.0,Shakhtar Donetsk,1800000.0,13.0,2.6,0.0,1.0,609.0,Brazil,84,84,Right,3,4.0,4.0,High/ High,Lean,RW,5'9,172lbs,74+3,74+3,74+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,71+3,67+3,67+3,67+3,71+3,66+3,54+3,54+3,54+3,66+3,Willian,91,44.0,89.0,81.0,84.0,79.0,86.0,83.0,14.0,12.0,13.0,7.0,13.0,55.0,46.0,77.0,81.0,43.0,70.0,80.0,82.0,78.0,51.0,86.0,87.0,57.0,63.0,83.0,59.0,forward
25,48006000.0,24.0,Chelsea FC,4374000.0,37.0,5.74,4.0,3.0,1405.0,Brazil,84,84,Right,3,4.0,4.0,High/ High,Lean,RW,5'9,172lbs,74+3,74+3,74+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,71+3,67+3,67+3,67+3,71+3,66+3,54+3,54+3,54+3,66+3,Willian,91,44.0,89.0,81.0,84.0,79.0,86.0,83.0,14.0,12.0,13.0,7.0,13.0,55.0,46.0,77.0,81.0,43.0,70.0,80.0,82.0,78.0,51.0,86.0,87.0,57.0,63.0,83.0,59.0,forward
26,48006000.0,24.0,Chelsea FC,4374000.0,26.0,2.04,7.0,8.0,1.8980000000000001,Brazil,84,84,Right,3,4.0,4.0,High/ High,Lean,RW,5'9,172lbs,74+3,74+3,74+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,71+3,67+3,67+3,67+3,71+3,66+3,54+3,54+3,54+3,66+3,Willian,91,44.0,89.0,81.0,84.0,79.0,86.0,83.0,14.0,12.0,13.0,7.0,13.0,55.0,46.0,77.0,81.0,43.0,70.0,80.0,82.0,78.0,51.0,86.0,87.0,57.0,63.0,83.0,59.0,forward
27,40446000.0,26.0,Chelsea FC,4114800.0,36.0,3.44,3.0,7.0,432.457,Brazil,84,84,Right,3,4.0,4.0,High/ High,Lean,RW,5'9,172lbs,74+3,74+3,74+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,71+3,67+3,67+3,67+3,71+3,66+3,54+3,54+3,54+3,66+3,Willian,91,44.0,89.0,81.0,84.0,79.0,86.0,83.0,14.0,12.0,13.0,7.0,13.0,55.0,46.0,77.0,81.0,43.0,70.0,80.0,82.0,78.0,51.0,86.0,87.0,57.0,63.0,83.0,59.0,forward
28,40095000.0,26.0,Chelsea FC,40446000.0,38.0,3.01,12.0,8.0,635.374,Brazil,84,84,Right,3,4.0,4.0,High/ High,Lean,RW,5'9,172lbs,74+3,74+3,74+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,71+3,67+3,67+3,67+3,71+3,66+3,54+3,54+3,54+3,66+3,Willian,91,44.0,89.0,81.0,84.0,79.0,86.0,83.0,14.0,12.0,13.0,7.0,13.0,55.0,46.0,77.0,81.0,43.0,70.0,80.0,82.0,78.0,51.0,86.0,87.0,57.0,63.0,83.0,59.0,forward
29,43228800.0,27.0,Chelsea FC,6682500.0,30.0,1.23,4.0,1.0,1.655,Brazil,84,84,Right,3,4.0,4.0,High/ High,Lean,RW,5'9,172lbs,74+3,74+3,74+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,71+3,67+3,67+3,67+3,71+3,66+3,54+3,54+3,54+3,66+3,Willian,91,44.0,89.0,81.0,84.0,79.0,86.0,83.0,14.0,12.0,13.0,7.0,13.0,55.0,46.0,77.0,81.0,43.0,70.0,80.0,82.0,78.0,51.0,86.0,87.0,57.0,63.0,83.0,59.0,forward
30,36057600.0,28.0,Chelsea FC,4397930.0,33.0,3.68,11.0,5.0,332.819,Brazil,84,84,Right,3,4.0,4.0,High/ High,Lean,RW,5'9,172lbs,74+3,74+3,74+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,71+3,67+3,67+3,67+3,71+3,66+3,54+3,54+3,54+3,66+3,Willian,91,44.0,89.0,81.0,84.0,79.0,86.0,83.0,14.0,12.0,13.0,7.0,13.0,55.0,46.0,77.0,81.0,43.0,70.0,80.0,82.0,78.0,51.0,86.0,87.0,57.0,63.0,83.0,59.0,forward
31,45000000.0,30.0,Chelsea FC,2817000.0,42.0,4.09,11.0,6.0,733.967,Brazil,84,84,Right,3,4.0,4.0,High/ High,Lean,RW,5'9,172lbs,74+3,74+3,74+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,71+3,67+3,67+3,67+3,71+3,66+3,54+3,54+3,54+3,66+3,Willian,91,44.0,89.0,81.0,84.0,79.0,86.0,83.0,14.0,12.0,13.0,7.0,13.0,55.0,46.0,77.0,81.0,43.0,70.0,80.0,82.0,78.0,51.0,86.0,87.0,57.0,63.0,83.0,59.0,forward
32,23317200.0,26.0,Tottenham Hotspur,23328000.0,46.0,3.6399999999999997,4.0,9.0,844.837,England,76,76,Right,2,3.0,3.0,High/ High,Normal,RM,5'5,139lbs,66+2,66+2,66+2,75+2,73+2,73+2,73+2,75+2,74+2,74+2,74+2,75+2,70+2,70+2,70+2,75+2,66+2,62+2,62+2,62+2,66+2,62+2,53+2,53+2,53+2,62+2,Lennon,86,57.0,91.0,91.0,79.0,77.0,80.0,55.0,14.0,7.0,7.0,16.0,11.0,48.0,70.0,61.0,57.0,43.0,62.0,72.0,74.0,64.0,37.0,84.0,75.0,42.0,59.0,73.0,68.0,midfield
33,16178400.0,27.0,Tottenham Hotspur,23317200.0,33.0,3.6799999999999997,1.0,5.0,457.187,England,76,76,Right,2,3.0,3.0,High/ High,Normal,RM,5'5,139lbs,66+2,66+2,66+2,75+2,73+2,73+2,73+2,75+2,74+2,74+2,74+2,75+2,70+2,70+2,70+2,75+2,66+2,62+2,62+2,62+2,66+2,62+2,53+2,53+2,53+2,62+2,Lennon,86,57.0,91.0,91.0,79.0,77.0,80.0,55.0,14.0,7.0,7.0,16.0,11.0,48.0,70.0,61.0,57.0,43.0,62.0,72.0,74.0,64.0,37.0,84.0,75.0,42.0,59.0,73.0,68.0,midfield
34,8019000.000000001,28.0,Everton FC,16178400.0,31.0,7.66,2.0,3.0,740.071,England,76,76,Right,2,3.0,3.0,High/ High,Normal,RM,5'5,139lbs,66+2,66+2,66+2,75+2,73+2,73+2,73+2,75+2,74+2,74+2,74+2,75+2,70+2,70+2,70+2,75+2,66+2,62+2,62+2,62+2,66+2,62+2,53+2,53+2,53+2,62+2,Lennon,86,57.0,91.0,91.0,79.0,77.0,80.0,55.0,14.0,7.0,7.0,16.0,11.0,48.0,70.0,61.0,57.0,43.0,62.0,72.0,74.0,64.0,37.0,84.0,75.0,42.0,59.0,73.0,68.0,midfield
35,8105399.999999999,29.0,Everton FC,11360250.0,31.0,6.64,6.0,2.0,548.539,England,76,76,Right,2,3.0,3.0,High/ High,Normal,RM,5'5,139lbs,66+2,66+2,66+2,75+2,73+2,73+2,73+2,75+2,74+2,74+2,74+2,75+2,70+2,70+2,70+2,75+2,66+2,62+2,62+2,62+2,66+2,62+2,53+2,53+2,53+2,62+2,Lennon,86,57.0,91.0,91.0,79.0,77.0,80.0,55.0,14.0,7.0,7.0,16.0,11.0,48.0,70.0,61.0,57.0,43.0,62.0,72.0,74.0,64.0,37.0,84.0,75.0,42.0,59.0,73.0,68.0,midfield
36,5634000.0,30.0,Everton FC,8105399.999999999,13.0,2.8600000000000003,1.0,1.0,667.0,England,76,76,Right,2,3.0,3.0,High/ High,Normal,RM,5'5,139lbs,66+2,66+2,66+2,75+2,73+2,73+2,73+2,75+2,74+2,74+2,74+2,75+2,70+2,70+2,70+2,75+2,66+2,62+2,62+2,62+2,66+2,62+2,53+2,53+2,53+2,62+2,Lennon,86,57.0,91.0,91.0,79.0,77.0,80.0,55.0,14.0,7.0,7.0,16.0,11.0,48.0,70.0,61.0,57.0,43.0,62.0,72.0,74.0,64.0,37.0,84.0,75.0,42.0,59.0,73.0,68.0,midfield
37,7543800.0,25.0,Southampton FC,4374000.0,30.0,1.0,3.0,6.0,2.238,England,80,80,Right,3,5.0,4.0,High/ High,Lean,CM,5'10,161lbs,74+3,74+3,74+3,77+3,77+3,77+3,77+3,77+3,79+3,79+3,79+3,78+3,78+3,78+3,78+3,78+3,71+3,72+3,72+3,72+3,71+3,69+3,67+3,67+3,67+3,69+3,Lallana,73,74.0,82.0,75.0,86.0,80.0,85.0,66.0,6.0,15.0,14.0,8.0,11.0,68.0,72.0,77.0,72.0,60.0,70.0,76.0,75.0,72.0,62.0,71.0,84.0,67.0,66.0,83.0,72.0,midfield
38,29660400.0,26.0,Liverpool FC,7543800.0,42.0,3.4699999999999998,10.0,8.0,210.1,England,80,80,Right,3,5.0,4.0,High/ High,Lean,CM,5'10,161lbs,74+3,74+3,74+3,77+3,77+3,77+3,77+3,77+3,79+3,79+3,79+3,78+3,78+3,78+3,78+3,78+3,71+3,72+3,72+3,72+3,71+3,69+3,67+3,67+3,67+3,69+3,Lallana,73,74.0,82.0,75.0,86.0,80.0,85.0,66.0,6.0,15.0,14.0,8.0,11.0,68.0,72.0,77.0,72.0,60.0,70.0,76.0,75.0,72.0,62.0,71.0,84.0,67.0,66.0,83.0,72.0,midfield
39,26730000.0,27.0,Liverpool FC,29660400.0,41.0,8.34,6.0,4.0,941.788,England,80,80,Right,3,5.0,4.0,High/ High,Lean,CM,5'10,161lbs,74+3,74+3,74+3,77+3,77+3,77+3,77+3,77+3,79+3,79+3,79+3,78+3,78+3,78+3,78+3,78+3,71+3,72+3,72+3,72+3,71+3,69+3,67+3,67+3,67+3,69+3,Lallana,73,74.0,82.0,75.0,86.0,80.0,85.0,66.0,6.0,15.0,14.0,8.0,11.0,68.0,72.0,77.0,72.0,60.0,70.0,76.0,75.0,72.0,62.0,71.0,84.0,67.0,66.0,83.0,72.0,midfield
40,25667099.999999996,28.0,Liverpool FC,26730000.0,49.0,5.42,7.0,8.0,1451.114,England,80,80,Right,3,5.0,4.0,High/ High,Lean,CM,5'10,161lbs,74+3,74+3,74+3,77+3,77+3,77+3,77+3,77+3,79+3,79+3,79+3,78+3,78+3,78+3,78+3,78+3,71+3,72+3,72+3,72+3,71+3,69+3,67+3,67+3,67+3,69+3,Lallana,73,74.0,82.0,75.0,86.0,80.0,85.0,66.0,6.0,15.0,14.0,8.0,11.0,68.0,72.0,77.0,72.0,60.0,70.0,76.0,75.0,72.0,62.0,71.0,84.0,67.0,66.0,83.0,72.0,midfield
